# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.08776990 0.13844380 0.23979180 
0.000000  -0.000000 
0.000878  -0.008133 
0.001755  -0.016229 
0.002633  -0.024253 
0.003511  -0.032165 
0.004389  -0.039929 
0.005266  -0.047507 
0.006144  -0.054858 
0.007022  -0.061941 
0.007899  -0.068714 
0.008777  -0.075132 
0.009655  -0.081146 
0.010532  -0.086707 
0.011410  -0.091757 
0.012288  -0.096238 
0.013166  -0.100080 
0.014043  -0.103207 
0.014921  -0.105532 
0.015799  -0.106949 
0.016676  -0.107332 
0.017554  -0.106523 
0.018432  -0.104315 
0.019309  -0.100426 
0.020187  -0.094441 
0.021065  -0.085689 
0.021943  -0.072905 
0.022820  -0.052870 
0.023698  0.016094 
0.024576  0.062371 
0.025453  0.090227 
0.026331  0.114255 
0.027209  0.136649 
0.028086  0.158243 
0.028964  0.179444 
0.029842  0.200486 
0.030720  0.221510 
0.031597  0.242608 
0.032475  0.263842 
0.033353  0.285255 
0.034230  0.306876 
0.035108  0.328726 
0.035986  0.350820 
0.036863  0.373165 
0.037741  0.395769 
0.038619  0.418635 
0.039496  0.441763 
0.040374  0.465153 
0.041252  0.488804 
0.042130  0.512711 
0.043007  0.536873 
0.043885  0.561284 
0.044763  0.585940 
0.045640  0.610835 
0.046518  0.635964 
0.047396  0.661322 
0.048273  0.686901 
0.049151  0.712697 
0.050029  0.738702 
0.050907  0.764911 
0.051784  0.791316 
0.052662  0.817911 
0.053540  0.844690 
0.054417  0.871645 
0.055295  0.898772 
0.056173  0.926062 
0.057050  0.953509 
0.057928  0.981107 
0.058806  1.008850 
0.059684  1.036731 
0.060561  1.064742 
0.061439  1.092880 
0.062317  1.121136 
0.063194  1.149505 
0.064072  1.177980 
0.064950  1.206556 
0.065827  1.235226 
0.066705  1.263985 
0.067583  1.292827 
0.068460  1.321746 
0.069338  1.350736 
0.070216  1.379792 
0.071094  1.408908 
0.071971  1.438078 
0.072849  1.467298 
0.073727  1.496561 
0.074604  1.525863 
0.075482  1.555198 
0.076360  1.584562 
0.077238  1.613949 
0.078115  1.643354 
0.078993  1.672773 
0.079871  1.702200 
0.080748  1.731631 
0.081626  1.761061 
0.082504  1.790486 
0.083381  1.819901 
0.084259  1.849300 
0.085137  1.878681 
0.086014  1.908039 
0.086892  1.937368 
0.087770  1.966666 

0.087770  1.966666 
0.088277  1.966700 
0.088783  1.966800 
0.089290  1.966968 
0.089797  1.967204 
0.090304  1.967506 
0.090810  1.967876 
0.091317  1.968314 
0.091824  1.968819 
0.092330  1.969392 
0.092837  1.970033 
0.093344  1.970742 
0.093851  1.971519 
0.094357  1.972365 
0.094864  1.973279 
0.095371  1.974262 
0.095878  1.975315 
0.096384  1.976436 
0.096891  1.977628 
0.097398  1.978890 
0.097905  1.980221 
0.098411  1.981624 
0.098918  1.983097 
0.099425  1.984642 
0.099932  1.986258 
0.100438  1.987946 
0.100945  1.989707 
0.101452  1.991540 
0.101959  1.993446 
0.102465  1.995426 
0.102972  1.997480 
0.103479  1.999607 
0.103985  2.001810 
0.104492  2.004087 
0.104999  2.006440 
0.105506  2.008868 
0.106012  2.011373 
0.106519  2.013954 
0.107026  2.016613 
0.107533  2.019349 
0.108039  2.022162 
0.108546  2.025054 
0.109053  2.028024 
0.109560  2.031074 
0.110066  2.034202 
