# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.08359040 0.13185130 0.22837310 
0.000000  -0.000000 
0.000836  0.008478 
0.001672  0.016974 
0.002508  0.025506 
0.003344  0.034092 
0.004180  0.042750 
0.005015  0.051496 
0.005851  0.060349 
0.006687  0.069323 
0.007523  0.078434 
0.008359  0.087698 
0.009195  0.097128 
0.010031  0.106738 
0.010867  0.116540 
0.011703  0.126547 
0.012539  0.136770 
0.013374  0.147217 
0.014210  0.157899 
0.015046  0.168825 
0.015882  0.180001 
0.016718  0.191435 
0.017554  0.203132 
0.018390  0.215098 
0.019226  0.227337 
0.020062  0.239853 
0.020898  0.252649 
0.021733  0.265728 
0.022569  0.279091 
0.023405  0.292739 
0.024241  0.306674 
0.025077  0.320895 
0.025913  0.335402 
0.026749  0.350194 
0.027585  0.365269 
0.028421  0.380627 
0.029257  0.396266 
0.030093  0.412182 
0.030928  0.428373 
0.031764  0.444836 
0.032600  0.461569 
0.033436  0.478566 
0.034272  0.495826 
0.035108  0.513343 
0.035944  0.531114 
0.036780  0.549134 
0.037616  0.567399 
0.038452  0.585904 
0.039288  0.604644 
0.040123  0.623615 
0.040959  0.642812 
0.041795  0.662229 
0.042631  0.681862 
0.043467  0.701705 
0.044303  0.721753 
0.045139  0.742000 
0.045975  0.762442 
0.046811  0.783073 
0.047647  0.803887 
0.048482  0.824879 
0.049318  0.846043 
0.050154  0.867375 
0.050990  0.888868 
0.051826  0.910518 
0.052662  0.932318 
0.053498  0.954263 
0.054334  0.976348 
0.055170  0.998567 
0.056005  1.020916 
0.056841  1.043388 
0.057677  1.065978 
0.058513  1.088681 
0.059349  1.111492 
0.060185  1.134405 
0.061021  1.157415 
0.061857  1.180517 
0.062693  1.203707 
0.063529  1.226978 
0.064365  1.250325 
0.065200  1.273744 
0.066036  1.297231 
0.066872  1.320778 
0.067708  1.344383 
0.068544  1.368040 
0.069380  1.391745 
0.070216  1.415492 
0.071052  1.439277 
0.071888  1.463095 
0.072724  1.486942 
0.073559  1.510813 
0.074395  1.534705 
0.075231  1.558611 
0.076067  1.582528 
0.076903  1.606452 
0.077739  1.630378 
0.078575  1.654303 
0.079411  1.678221 
0.080247  1.702129 
0.081083  1.726022 
0.081919  1.749898 
0.082754  1.773750 
0.083590  1.797576 

0.083590  1.797576 
0.084073  1.797606 
0.084556  1.797696 
0.085038  1.797845 
0.085521  1.798054 
0.086003  1.798323 
0.086486  1.798652 
0.086969  1.799041 
0.087451  1.799490 
0.087934  1.799999 
0.088416  1.800568 
0.088899  1.801198 
0.089382  1.801887 
0.089864  1.802637 
0.090347  1.803448 
0.090829  1.804320 
0.091312  1.805252 
0.091795  1.806246 
0.092277  1.807300 
0.092760  1.808416 
0.093243  1.809594 
0.093725  1.810833 
0.094208  1.812134 
0.094690  1.813497 
0.095173  1.814922 
0.095656  1.816410 
0.096138  1.817960 
0.096621  1.819574 
0.097103  1.821250 
0.097586  1.822989 
0.098069  1.824792 
0.098551  1.826659 
0.099034  1.828589 
0.099516  1.830584 
0.099999  1.832643 
0.100482  1.834766 
0.100964  1.836955 
0.101447  1.839208 
0.101930  1.841526 
0.102412  1.843910 
0.102895  1.846359 
0.103377  1.848874 
0.103860  1.851456 
0.104343  1.854103 
0.104825  1.856817 
0.105308  1.859597 
0.105790  1.862444 
0.106273  1.865358 
0.106756  1.868339 
0.107238  1.871387 
0.107721  1.874502 
0.108203  1.877685 
0.108686  1.880936 
0.109169  1.884254 
0.109651  1.887640 
0.110134  1.891094 
0.110617  1.894616 
0.111099  1.898206 
0.111582  1.901865 
0.112064  1.905591 
0.112547  1.909386 
0.113030  1.913249 
0.113512  1.917180 
0.113995  1.921179 
0.114477  1.925247 
0.114960  1.929383 
0.115443  1.933587 
0.115925  1.937859 
0.116408  1.942200 
0.116890  1.946608 
0.117373  1.951084 
0.117856  1.955627 
0.118338  1.960239 
0.118821  1.964917 
0.119303  1.969663 
0.119786  1.974476 
0.120269  1.979356 
0.120751  1.984302 
0.121234  1.989315 
0.121717  1.994394 
0.122199  1.999538 
0.122682  2.004748 
0.123164  2.010024 
0.123647  2.015364 
0.124130  2.020769 
0.124612  2.026239 
0.125095  2.031772 
0.125577  2.037369 
0.126060  2.043029 
0.126543  2.048751 
0.127025  2.054536 
0.127508  2.060382 
0.127990  2.066290 
0.128473  2.072259 
0.128956  2.078288 
0.129438  2.084377 
0.129921  2.090526 
0.130404  2.096733 
0.130886  2.102998 
0.131369  2.109321 
0.131851  2.115701 

0.131851  2.115701 
0.132817  2.090017 
0.133782  2.064237 
0.134747  2.038364 
0.135712  2.012402 
0.136677  1.986356 
0.137643  1.960230 
0.138608  1.934029 
0.139573  1.907756 
0.140538  1.881417 
0.141504  1.855017 
0.142469  1.828559 
0.143434  1.802050 
0.144399  1.775492 
0.145364  1.748893 
0.146330  1.722256 
0.147295  1.695586 
0.148260  1.668890 
0.149225  1.642172 
0.150190  1.615438 
0.151156  1.588693 
0.152121  1.561944 
0.153086  1.535195 
0.154051  1.508452 
0.155017  1.481722 
0.155982  1.455011 
0.156947  1.428324 
0.157912  1.401668 
0.158877  1.375050 
0.159843  1.348476 
0.160808  1.321952 
0.161773  1.295485 
0.162738  1.269083 
0.163704  1.242752 
0.164669  1.216499 
0.165634  1.190331 
0.166599  1.164256 
0.167564  1.138282 
0.168530  1.112414 
0.169495  1.086662 
0.170460  1.061033 
0.171425  1.035535 
0.172391  1.010175 
0.173356  0.984962 
0.174321  0.959903 
0.175286  0.935008 
0.176251  0.910283 
0.177216  0.885738 
0.178182  0.861381 
0.179147  0.837219 
0.180112  0.813263 
0.181077  0.789519 
0.182043  0.765997 
0.183008  0.742705 
